sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
122,30875.745474360883,0.24091870673000815,2.0,recreation,0.4,23.5
123,30875.745474360883,0.24091870673000815,2.0,recreation,0.4,21.5
124,75497.30014894158,0.3981327878311277,2.0,recreation,0.6,17.0
125,30875.745474360883,0.3981327878311277,2.0,recreation,0.0,50.0
126,25617.29639302939,0.7636970486491919,2.0,recreation,0.2,23.0
127,25617.29639302939,0.6293585497885943,2.0,recreation,0.0,50.0
128,76201.36087108403,0.7636970486491919,2.0,recreation,0.2,16.0
129,76201.36087108403,0.7636970486491919,2.0,recreation,0.0,50.0
130,25617.29639302939,0.6293585497885943,2.0,recreation,0.2,20.0
131,76201.36087108403,0.6293585497885943,2.0,recreation,0.0,50.0
132,64960.72815079242,0.5990052873268724,2.0,recreation,0.2,12.0
133,64960.72815079242,0.33967868927866224,2.0,recreation,0.2,17.0
134,3854.0932163596153,0.5990052873268724,2.0,recreation,0.2,32.0
135,3854.0932163596153,0.5990052873268724,2.0,recreation,0.2,29.0
136,64960.72815079242,0.33967868927866224,2.0,recreation,0.4,16.0
137,3854.0932163596153,0.33967868927866224,2.0,recreation,0.2,29.0
138,35972.60061558336,0.37762898523360494,2.0,recreation,0.0,50.0
139,35972.60061558336,0.7065489154309035,2.0,recreation,0.2,23.0
140,53723.20250980556,0.37762898523360494,2.0,recreation,0.2,16.0
141,53723.20250980556,0.37762898523360494,2.0,recreation,0.4,17.5
142,35972.60061558336,0.7065489154309035,2.0,recreation,0.0,50.0
143,53723.20250980556,0.7065489154309035,2.0,recreation,0.0,50.0
144,93905.94131406397,0.3972208390012384,2.0,recreation,0.2,14.0
145,93905.94131406397,0.28205013610422613,2.0,recreation,0.0,50.0
146,83086.5816725418,0.3972208390012384,2.0,recreation,0.0,50.0
147,83086.5816725418,0.3972208390012384,2.0,recreation,0.0,50.0
148,93905.94131406397,0.28205013610422613,2.0,recreation,0.0,50.0
149,83086.5816725418,0.28205013610422613,2.0,recreation,0.2,18.0
150,6882.78688210994,0.6261419402435422,2.0,recreation,0.2,28.0
151,6882.78688210994,0.651703646965325,2.0,recreation,0.2,21.0
152,36371.56789097935,0.6261419402435422,2.0,recreation,0.0,50.0
153,36371.56789097935,0.6261419402435422,2.0,recreation,0.0,50.0
154,6882.78688210994,0.651703646965325,2.0,recreation,0.0,50.0
155,36371.56789097935,0.651703646965325,2.0,recreation,0.2,20.0
156,59000.04484783858,0.7611694756895304,2.0,recreation,0.0,50.0
157,59000.04484783858,0.3783064391463995,2.0,recreation,0.2,18.0
158,62252.34901532531,0.7611694756895304,2.0,recreation,0.2,14.0
159,62252.34901532531,0.7611694756895304,2.0,recreation,0.6,14.0
160,59000.04484783858,0.3783064391463995,2.0,recreation,0.2,15.0
161,62252.34901532531,0.3783064391463995,2.0,recreation,0.4,18.5
162,42356.68167565018,0.23421775512397291,2.0,recreation,0.0,50.0
163,42356.68167565018,0.6117293873801828,2.0,recreation,0.4,19.5
164,7705.9884537011385,0.23421775512397291,2.0,recreation,0.2,37.0
165,7705.9884537011385,0.23421775512397291,2.0,recreation,0.2,26.0
166,42356.68167565018,0.6117293873801828,2.0,recreation,0.2,17.0
167,7705.9884537011385,0.6117293873801828,2.0,recreation,0.0,50.0
168,74803.72221209109,0.3470510095357895,2.0,recreation,0.2,13.0
169,74803.72221209109,0.7478197056800129,2.0,recreation,0.0,50.0
170,25019.808795303106,0.3470510095357895,2.0,recreation,0.0,50.0
171,25019.808795303106,0.3470510095357895,2.0,recreation,0.0,50.0
172,74803.72221209109,0.7478197056800129,2.0,recreation,0.2,15.0
173,25019.808795303106,0.7478197056800129,2.0,recreation,0.2,22.0
174,26455.463651567698,0.7233355395495893,2.0,recreation,0.0,50.0
175,26455.463651567698,0.2234787093475461,2.0,recreation,0.0,50.0
176,69510.08667238057,0.7233355395495893,2.0,recreation,0.0,50.0
177,69510.08667238057,0.7233355395495893,2.0,recreation,0.4,16.0
178,26455.463651567698,0.2234787093475461,2.0,recreation,0.2,22.0
179,69510.08667238057,0.2234787093475461,2.0,recreation,0.0,50.0
180,85739.09792117774,0.5139758741483094,2.0,recreation,0.0,50.0
181,85739.09792117774,0.5156488042324783,2.0,recreation,0.4,16.5
182,45951.293523423374,0.5139758741483094,2.0,recreation,0.2,20.0
183,45951.293523423374,0.5139758741483094,2.0,recreation,0.2,17.0
184,85739.09792117774,0.5156488042324783,2.0,recreation,0.2,14.0
185,45951.293523423374,0.5156488042324783,2.0,recreation,0.0,50.0
186,14952.08813995123,0.4343875823542476,2.0,recreation,0.0,50.0
187,14952.08813995123,0.43691334370523693,2.0,recreation,0.4,30.0
188,98078.7916937843,0.4343875823542476,2.0,recreation,0.2,12.0
189,98078.7916937843,0.4343875823542476,2.0,recreation,0.4,14.5
190,14952.08813995123,0.43691334370523693,2.0,recreation,0.0,50.0
191,98078.7916937843,0.43691334370523693,2.0,recreation,0.4,14.0
192,70599.36981555074,0.42926394902169707,2.0,recreation,0.0,50.0
193,70599.36981555074,0.2601771971210838,2.0,recreation,0.0,50.0
194,55791.018784977496,0.42926394902169707,2.0,recreation,0.2,17.0
195,55791.018784977496,0.42926394902169707,2.0,recreation,0.2,17.0
196,70599.36981555074,0.2601771971210838,2.0,recreation,0.4,20.0
197,55791.018784977496,0.2601771971210838,2.0,recreation,0.0,50.0
198,30757.625934667885,0.5003517169505358,2.0,recreation,0.0,50.0
199,30757.625934667885,0.7861292265355588,2.0,recreation,0.2,19.0
200,2006.6860420629382,0.5003517169505358,2.0,recreation,0.4,31.0
201,2006.6860420629382,0.5003517169505358,2.0,recreation,0.0,50.0
202,30757.625934667885,0.7861292265355588,2.0,recreation,0.4,22.0
203,2006.6860420629382,0.7861292265355588,2.0,recreation,0.6,29.0
204,83852.04268526286,0.712354892678559,2.0,recreation,0.2,15.0
205,83852.04268526286,0.47829474490135915,2.0,recreation,0.0,50.0
206,78172.98999615014,0.712354892678559,2.0,recreation,0.4,14.0
207,78172.98999615014,0.712354892678559,2.0,recreation,0.0,50.0
208,83852.04268526286,0.47829474490135915,2.0,recreation,0.2,18.0
209,78172.98999615014,0.47829474490135915,2.0,recreation,0.0,50.0
