sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
193,10000.0,0.2601771971210838,2.0,greenway,0.0,50.0
194,10000.0,0.42926394902169707,2.0,sports,0.2,27.0
195,10000.0,0.42926394902169707,2.0,sports,0.2,28.0
196,10000.0,0.2601771971210838,2.0,greenway,0.4,32.5
197,10000.0,0.2601771971210838,2.0,sports,0.0,50.0
198,10000.0,0.5003517169505358,2.0,recreation,0.0,50.0
199,10000.0,0.7861292265355588,2.0,recreation,0.2,26.0
200,10000.0,0.5003517169505358,2.0,recreation,0.4,28.0
201,10000.0,0.5003517169505358,2.0,recreation,0.0,50.0
202,10000.0,0.7861292265355588,2.0,recreation,0.4,28.0
203,10000.0,0.7861292265355588,2.0,recreation,0.6,26.0
204,10000.0,0.712354892678559,2.0,greenway,0.2,29.0
205,10000.0,0.47829474490135915,2.0,greenway,0.0,50.0
206,10000.0,0.712354892678559,2.0,greenway,0.4,24.0
207,10000.0,0.712354892678559,2.0,greenway,0.0,50.0
208,10000.0,0.47829474490135915,2.0,greenway,0.2,33.0
209,10000.0,0.47829474490135915,2.0,greenway,0.0,50.0
210,10000.0,0.3392794335260988,2.0,recreation,0.2,32.0
211,10000.0,0.5492662563920021,2.0,recreation,0.0,50.0
212,10000.0,0.3392794335260988,2.0,recreation,0.0,50.0
213,10000.0,0.3392794335260988,2.0,recreation,0.0,50.0
214,10000.0,0.5492662563920021,2.0,recreation,0.2,25.0
215,10000.0,0.5492662563920021,2.0,recreation,0.4,26.0
216,10000.0,0.22645526062697174,2.0,greenway,0.0,50.0
217,10000.0,0.6946995234116913,2.0,greenway,0.2,24.0
218,10000.0,0.22645526062697174,2.0,sports,0.0,50.0
219,10000.0,0.22645526062697174,2.0,sports,0.2,35.0
220,10000.0,0.6946995234116913,2.0,greenway,0.2,26.0
221,10000.0,0.6946995234116913,2.0,sports,0.0,50.0
222,10000.0,0.7501795997843148,2.0,recreation,0.0,50.0
223,10000.0,0.3140599794685841,2.0,recreation,0.4,27.5
224,10000.0,0.7501795997843148,2.0,greenway,0.2,30.0
225,10000.0,0.7501795997843148,2.0,greenway,0.2,27.0
226,10000.0,0.3140599794685841,2.0,recreation,0.0,50.0
227,10000.0,0.3140599794685841,2.0,greenway,0.8,31.5
228,10000.0,0.6125270076096059,2.0,sports,0.4,31.5
229,10000.0,0.640658195130527,2.0,sports,0.2,27.0
230,10000.0,0.6125270076096059,2.0,recreation,0.4,25.5
231,10000.0,0.6125270076096059,2.0,recreation,0.4,27.5
232,10000.0,0.640658195130527,2.0,sports,0.0,50.0
233,10000.0,0.640658195130527,2.0,recreation,0.0,50.0
234,10000.0,0.39208811968564994,2.0,sports,0.2,28.0
235,10000.0,0.424374195933342,2.0,sports,0.2,27.0
236,10000.0,0.39208811968564994,2.0,sports,0.2,38.0
237,10000.0,0.39208811968564994,2.0,sports,0.2,28.0
238,10000.0,0.424374195933342,2.0,sports,0.0,50.0
239,10000.0,0.424374195933342,2.0,sports,0.0,50.0
240,10000.0,0.3830431364476681,2.0,greenway,0.0,50.0
241,10000.0,0.5857764385640623,2.0,greenway,0.0,50.0
242,10000.0,0.3830431364476681,2.0,greenway,0.2,28.0
243,10000.0,0.3830431364476681,2.0,greenway,0.2,30.0
244,10000.0,0.5857764385640623,2.0,greenway,0.4,24.5
245,10000.0,0.5857764385640623,2.0,greenway,0.2,29.0
246,10000.0,0.612343466281891,2.0,recreation,0.2,23.0
247,10000.0,0.3667091747745872,2.0,recreation,0.4,31.0
248,10000.0,0.612343466281891,2.0,sports,0.2,24.0
249,10000.0,0.612343466281891,2.0,sports,0.0,50.0
250,10000.0,0.3667091747745872,2.0,recreation,0.2,28.0
251,10000.0,0.3667091747745872,2.0,sports,0.0,50.0
252,10000.0,0.7749727932736279,2.0,sports,0.2,31.0
253,10000.0,0.6770338907837868,2.0,sports,0.2,33.0
254,10000.0,0.7749727932736279,2.0,greenway,0.2,22.0
255,10000.0,0.7749727932736279,2.0,greenway,0.2,29.0
256,10000.0,0.6770338907837868,2.0,sports,0.2,26.0
257,10000.0,0.6770338907837868,2.0,greenway,0.4,28.5
258,10000.0,0.2483905738219619,2.0,sports,0.0,50.0
259,10000.0,0.29419714491814375,2.0,sports,0.0,50.0
260,10000.0,0.2483905738219619,2.0,recreation,0.0,50.0
261,10000.0,0.2483905738219619,2.0,recreation,0.0,50.0
262,10000.0,0.29419714491814375,2.0,sports,0.0,50.0
263,10000.0,0.29419714491814375,2.0,recreation,0.2,29.0
264,10000.0,0.2855567114427686,2.0,sports,0.2,29.0
265,10000.0,0.458174354583025,2.0,sports,0.2,31.0
266,10000.0,0.2855567114427686,2.0,recreation,0.4,31.0
267,10000.0,0.2855567114427686,2.0,recreation,0.0,50.0
268,10000.0,0.458174354583025,2.0,sports,0.2,28.0
269,10000.0,0.458174354583025,2.0,recreation,0.6,31.0
270,10000.0,0.6628061214461923,2.0,sports,0.0,50.0
271,10000.0,0.5319291329011322,2.0,sports,0.0,50.0
272,10000.0,0.6628061214461923,2.0,sports,0.0,50.0
273,10000.0,0.6628061214461923,2.0,sports,0.4,29.5
274,10000.0,0.5319291329011322,2.0,sports,0.2,28.0
275,10000.0,0.5319291329011322,2.0,sports,0.0,50.0
276,10000.0,0.5745101403445005,2.0,greenway,0.2,21.0
277,10000.0,0.20284068286418916,2.0,greenway,0.0,50.0
278,10000.0,0.5745101403445005,2.0,sports,0.0,50.0
279,10000.0,0.5745101403445005,2.0,sports,0.2,26.0
280,10000.0,0.20284068286418916,2.0,greenway,0.0,50.0
281,10000.0,0.20284068286418916,2.0,sports,0.0,50.0
282,10000.0,0.49587700106203564,2.0,recreation,0.2,29.0
283,10000.0,0.7309899164363742,2.0,recreation,0.0,50.0
284,10000.0,0.49587700106203564,2.0,greenway,0.2,25.0
285,10000.0,0.49587700106203564,2.0,greenway,0.2,30.0
286,10000.0,0.7309899164363742,2.0,recreation,0.2,26.0
287,10000.0,0.7309899164363742,2.0,greenway,0.0,50.0
288,10000.0,0.47285482268780477,2.0,greenway,0.0,50.0
289,10000.0,0.3732367327436805,2.0,greenway,0.2,30.0
290,10000.0,0.47285482268780477,2.0,recreation,0.2,26.0
291,10000.0,0.47285482268780477,2.0,recreation,0.0,50.0
292,10000.0,0.3732367327436805,2.0,greenway,0.4,29.5
293,10000.0,0.3732367327436805,2.0,recreation,0.2,30.0
294,10000.0,0.5506545459851624,2.0,recreation,0.2,25.0
295,10000.0,0.5991890661418439,2.0,recreation,0.2,27.0
296,10000.0,0.5506545459851624,2.0,sports,0.0,50.0
297,10000.0,0.5506545459851624,2.0,sports,0.0,50.0
298,10000.0,0.5991890661418439,2.0,recreation,0.0,50.0
299,10000.0,0.5991890661418439,2.0,sports,0.2,31.0
300,10000.0,0.6854529492557049,2.0,sports,0.2,25.0
301,10000.0,0.29136803131550554,2.0,sports,0.0,50.0
302,10000.0,0.6854529492557049,2.0,sports,0.2,26.0
303,10000.0,0.6854529492557049,2.0,sports,0.2,27.0
304,10000.0,0.29136803131550554,2.0,sports,0.0,50.0
305,10000.0,0.29136803131550554,2.0,sports,0.0,50.0
306,10000.0,0.3097876876592636,2.0,sports,0.0,50.0
307,10000.0,0.6623398110270501,2.0,sports,0.4,25.0
308,10000.0,0.3097876876592636,2.0,greenway,0.2,29.0
309,10000.0,0.3097876876592636,2.0,greenway,0.2,24.0
310,10000.0,0.6623398110270501,2.0,sports,0.0,50.0
311,10000.0,0.6623398110270501,2.0,greenway,0.2,29.0
312,10000.0,0.2725386541336775,2.0,sports,0.0,50.0
313,10000.0,0.5078051215037704,2.0,sports,0.2,29.0
314,10000.0,0.2725386541336775,2.0,greenway,0.0,50.0
315,10000.0,0.2725386541336775,2.0,greenway,0.2,28.0
316,10000.0,0.5078051215037704,2.0,sports,0.2,30.0
317,10000.0,0.5078051215037704,2.0,greenway,0.4,28.0
318,10000.0,0.797701520100236,2.0,sports,0.0,50.0
319,10000.0,0.42716530933976177,2.0,sports,0.0,50.0
320,10000.0,0.797701520100236,2.0,recreation,0.2,26.0
321,10000.0,0.797701520100236,2.0,recreation,0.2,26.0
322,10000.0,0.42716530933976177,2.0,sports,0.2,22.0
323,10000.0,0.42716530933976177,2.0,recreation,0.2,30.0
324,10000.0,0.5884059773758055,2.0,greenway,0.2,25.0
325,10000.0,0.7537592334672809,2.0,greenway,0.2,23.0
326,10000.0,0.5884059773758055,2.0,sports,0.2,26.0
327,10000.0,0.5884059773758055,2.0,sports,0.4,24.5
328,10000.0,0.7537592334672809,2.0,greenway,0.0,50.0
329,10000.0,0.7537592334672809,2.0,sports,0.0,50.0
330,10000.0,0.3601038584485651,2.0,recreation,0.2,28.0
331,10000.0,0.23747493028640748,2.0,recreation,0.2,32.0
332,10000.0,0.3601038584485651,2.0,recreation,0.2,32.0
333,10000.0,0.3601038584485651,2.0,recreation,0.4,23.5
334,10000.0,0.23747493028640748,2.0,recreation,0.0,50.0
335,10000.0,0.23747493028640748,2.0,recreation,0.8,30.0
336,10000.0,0.41477843839675194,2.0,sports,0.2,33.0
337,10000.0,0.7739253990352155,2.0,sports,0.0,50.0
338,10000.0,0.41477843839675194,2.0,recreation,0.2,27.0
339,10000.0,0.41477843839675194,2.0,recreation,0.0,50.0
340,10000.0,0.7739253990352155,2.0,sports,0.4,26.5
341,10000.0,0.7739253990352155,2.0,recreation,0.0,50.0
342,10000.0,0.6367099219933152,2.0,sports,0.0,50.0
343,10000.0,0.2548578312620521,2.0,sports,0.4,28.0
344,10000.0,0.6367099219933152,2.0,greenway,0.4,26.0
345,10000.0,0.6367099219933152,2.0,greenway,0.0,50.0
346,10000.0,0.2548578312620521,2.0,sports,0.2,29.0
347,10000.0,0.2548578312620521,2.0,greenway,0.2,31.0
348,10000.0,0.7271322455257179,2.0,greenway,0.0,50.0
349,10000.0,0.5651691004633904,2.0,greenway,0.0,50.0
350,10000.0,0.7271322455257179,2.0,recreation,0.0,50.0
351,10000.0,0.7271322455257179,2.0,recreation,0.0,50.0
352,10000.0,0.5651691004633904,2.0,greenway,0.2,30.0
353,10000.0,0.5651691004633904,2.0,recreation,0.6,29.0
354,10000.0,0.20262942202389242,2.0,recreation,0.0,50.0
355,10000.0,0.4823320863768459,2.0,recreation,0.2,32.0
356,10000.0,0.20262942202389242,2.0,sports,0.2,40.0
357,10000.0,0.20262942202389242,2.0,sports,0.0,50.0
358,10000.0,0.4823320863768459,2.0,recreation,0.0,50.0
359,10000.0,0.4823320863768459,2.0,sports,0.4,32.0
360,10000.0,0.31539000645279885,2.0,greenway,0.0,50.0
361,10000.0,0.34620401039719584,2.0,greenway,0.0,50.0
362,10000.0,0.31539000645279885,2.0,greenway,0.0,50.0
363,10000.0,0.31539000645279885,2.0,greenway,0.2,27.0
364,10000.0,0.34620401039719584,2.0,greenway,0.2,27.0
365,10000.0,0.34620401039719584,2.0,greenway,0.4,28.0
366,10000.0,0.6893721237778665,2.0,recreation,0.2,25.0
367,10000.0,0.7199590569362044,2.0,recreation,0.0,50.0
368,10000.0,0.6893721237778665,2.0,recreation,0.2,29.0
369,10000.0,0.6893721237778665,2.0,recreation,0.0,50.0
370,10000.0,0.7199590569362044,2.0,recreation,0.0,50.0
371,10000.0,0.7199590569362044,2.0,recreation,0.0,50.0
372,10000.0,0.5244700415059924,2.0,greenway,0.2,26.0
373,10000.0,0.39087489843368534,2.0,greenway,0.4,27.0
374,10000.0,0.5244700415059924,2.0,greenway,0.0,50.0
375,10000.0,0.5244700415059924,2.0,greenway,0.0,50.0
376,10000.0,0.39087489843368534,2.0,greenway,0.2,32.0
377,10000.0,0.39087489843368534,2.0,greenway,0.4,30.0
378,10000.0,0.4520178517326713,2.0,recreation,0.0,50.0
379,10000.0,0.6190244359895587,2.0,recreation,0.0,50.0
380,10000.0,0.4520178517326713,2.0,sports,0.2,28.0
381,10000.0,0.4520178517326713,2.0,sports,0.0,50.0
382,10000.0,0.6190244359895587,2.0,recreation,0.2,29.0
383,10000.0,0.6190244359895587,2.0,sports,0.0,50.0
384,10000.0,0.4452347870916129,2.0,sports,0.0,50.0
385,10000.0,0.40972170718014245,2.0,sports,0.4,32.0
386,10000.0,0.4452347870916129,2.0,greenway,0.0,50.0
387,10000.0,0.4452347870916129,2.0,greenway,0.4,30.5
388,10000.0,0.40972170718014245,2.0,sports,0.0,50.0
389,10000.0,0.40972170718014245,2.0,greenway,0.2,31.0
390,10000.0,0.5218809504061939,2.0,sports,0.0,50.0
391,10000.0,0.6377247290685774,2.0,sports,0.2,35.0
392,10000.0,0.5218809504061939,2.0,sports,0.0,50.0
393,10000.0,0.5218809504061939,2.0,sports,0.2,29.0
394,10000.0,0.6377247290685774,2.0,sports,0.2,33.0
395,10000.0,0.6377247290685774,2.0,sports,0.2,27.0
396,10000.0,0.696666723676026,2.0,greenway,0.2,28.0
397,10000.0,0.3275416325777769,2.0,greenway,0.2,24.0
398,10000.0,0.696666723676026,2.0,sports,0.0,50.0
399,10000.0,0.696666723676026,2.0,sports,0.2,27.0
400,10000.0,0.3275416325777769,2.0,greenway,0.0,50.0
401,10000.0,0.3275416325777769,2.0,sports,0.0,50.0
402,10000.0,0.31746753100305797,2.0,recreation,0.0,50.0
403,10000.0,0.7011502260342242,2.0,recreation,0.0,50.0
404,10000.0,0.31746753100305797,2.0,recreation,0.2,23.0
405,10000.0,0.31746753100305797,2.0,recreation,0.0,50.0
406,10000.0,0.7011502260342242,2.0,recreation,0.0,50.0
407,10000.0,0.7011502260342242,2.0,recreation,0.2,26.0
408,10000.0,0.2052190674468875,2.0,greenway,0.0,50.0
409,10000.0,0.5463408056646586,2.0,greenway,0.0,50.0
410,10000.0,0.2052190674468875,2.0,recreation,0.2,32.0
411,10000.0,0.2052190674468875,2.0,recreation,0.0,50.0
412,10000.0,0.5463408056646586,2.0,greenway,0.2,31.0
413,10000.0,0.5463408056646586,2.0,recreation,0.0,50.0
414,10000.0,0.7339158644899726,2.0,recreation,0.4,30.5
415,10000.0,0.46365026254206904,2.0,recreation,0.2,28.0
416,10000.0,0.7339158644899726,2.0,greenway,0.2,21.0
417,10000.0,0.7339158644899726,2.0,greenway,0.4,26.0
418,10000.0,0.46365026254206904,2.0,recreation,0.0,50.0
419,10000.0,0.46365026254206904,2.0,greenway,0.0,50.0
420,10000.0,0.6346318073570729,2.0,greenway,0.0,50.0
421,10000.0,0.7925696250051262,2.0,greenway,0.0,50.0
422,10000.0,0.6346318073570729,2.0,sports,0.0,50.0
423,10000.0,0.6346318073570729,2.0,sports,0.0,50.0
424,10000.0,0.7925696250051262,2.0,greenway,0.4,24.0
425,10000.0,0.7925696250051262,2.0,sports,0.2,29.0
426,10000.0,0.40748324841260913,2.0,recreation,0.2,29.0
427,10000.0,0.2736485550180078,2.0,recreation,0.2,34.0
428,10000.0,0.40748324841260913,2.0,greenway,0.4,29.5
429,10000.0,0.40748324841260913,2.0,greenway,0.2,28.0
430,10000.0,0.2736485550180078,2.0,recreation,0.0,50.0
431,10000.0,0.2736485550180078,2.0,greenway,0.0,50.0
432,10000.0,0.3673824332654476,2.0,greenway,0.2,31.0
433,10000.0,0.7350967125967145,2.0,greenway,0.2,28.0
434,10000.0,0.3673824332654476,2.0,greenway,0.0,50.0
435,10000.0,0.3673824332654476,2.0,greenway,0.2,28.0
436,10000.0,0.7350967125967145,2.0,greenway,0.0,50.0
437,10000.0,0.7350967125967145,2.0,greenway,0.2,23.0
438,10000.0,0.5905040979385376,2.0,recreation,0.0,50.0
